set_name,set_number,card_number,name,sub_name,rarity,cost,inkwell,ink_color,strength,willpower,lore,classifications,img
Azurite Sea,6,39,Sisu,In Her Element,Common,5,TRUE,Amethyst,3,6,2,"['Storyborn', 'Hero', 'Deity', 'Dragon']",6-39-en-sp.webp
Azurite Sea,6,40,The White Rose,Jewel of the Garden,Common,3,TRUE,Amethyst,3,3,1,['Storyborn'],6-40-en-sp.webp
Azurite Sea,6,41,Juju,Mama Odie's Companion,Common,2,TRUE,Amethyst,1,2,1,"['Storyborn', 'Ally']",6-41-en-sp.webp
Azurite Sea,6,42,Rafiki,Shaman of the Savanna,Common,1,TRUE,Amethyst,2,2,1,"['Storyborn', 'Mentor', 'Sorcerer']",6-42-en-sp.webp
Azurite Sea,6,43,Tinker Bell,Fast Flier,Common,3,TRUE,Amethyst,1,3,2,"['Storyborn', 'Ally', 'Fairy']",6-43-en-sp.webp
Azurite Sea,6,44,The Carpenter,Dinner Companion,Common,2,TRUE,Amethyst,1,1,1,['Storyborn'],6-44-en-sp.webp
Azurite Sea,6,45,Iago,Reappearing Parrot,Common,4,TRUE,Amethyst,4,2,1,"['Dreamborn', 'Ally']",6-45-en-sp.webp
Azurite Sea,6,60,A Very Merry Unbirthday,,Common,1,TRUE,Amethyst,,,,[nan],6-60-en-sp.webp
Azurite Sea,6,62,Making Magic,,Common,3,TRUE,Amethyst,,,,[nan],6-62-en-sp.webp
Azurite Sea,6,66,Mad Hatter's Teapot,,Common,2,TRUE,Amethyst,,,,[nan],6-66-en-sp.webp
Azurite Sea,6,68,Fairy Ship,Royal Vessel,Common,1,TRUE,Amethyst,,4,1,[nan],6-68-en-sp.webp
Azurite Sea,6,75,Fred,Mascot by Day,Common,1,TRUE,Emerald,1,1,1,"['Storyborn', 'Hero']",6-75-en-sp.webp
Azurite Sea,6,76,Tootles,Lost Boy,Common,1,TRUE,Emerald,2,2,1,"['Storyborn', 'Ally']",6-76-en-sp.webp
Azurite Sea,6,77,Dawson,Basil's Assistant,Common,4,TRUE,Emerald,3,4,2,"['Storyborn', 'Ally']",6-77-en-sp.webp
Azurite Sea,6,78,Heathcliff,Stoic Butler,Common,4,TRUE,Emerald,3,3,2,"['Storyborn', 'Ally']",6-78-en-sp.webp
Azurite Sea,6,79,Basil,Hypnotized Mouse,Common,3,TRUE,Emerald,3,2,1,"['Dreamborn', 'Hero', 'Detective']",6-79-en-sp.webp
Azurite Sea,6,87,Alistair Krei,Ambitious Entrepreneur,Common,3,TRUE,Emerald,2,4,1,"['Storyborn', 'Inventor']",6-87-en-sp.webp
Azurite Sea,6,88,Gazelle,Angel with Horns,Common,2,TRUE,Emerald,1,2,1,"['Dreamborn', 'Ally']",6-88-en-sp.webp
Azurite Sea,6,94,Prepare to Board!,,Common,1,TRUE,Emerald,,,,[nan],6-94-en-sp.webp
Azurite Sea,6,95,Heffalumps and Woozles,,Common,2,TRUE,Emerald,,,,[nan],6-95-en-sp.webp
Azurite Sea,6,99,Galactic Communicator,,Common,2,FALSE,Emerald,,,,[nan],6-99-en-sp.webp
Azurite Sea,6,101,Perilous Maze,Watery Labyrinth,Common,3,TRUE,Emerald,,8,1,[nan],6-101-en-sp.webp
Azurite Sea,6,105,Kakamora,Pirate Pitcher,Common,2,TRUE,Ruby,1,3,1,"['Storyborn', 'Pirate']",6-105-en-sp.webp
Azurite Sea,6,111,Michael Darling,Playful Swordsman,Common,1,TRUE,Ruby,2,2,1,"['Storyborn', 'Ally', 'Pirate']",6-111-en-sp.webp
Azurite Sea,6,112,Aladdin,Fearless Navigator,Common,2,TRUE,Ruby,2,3,1,"['Storyborn', 'Hero', 'Prince']",6-112-en-sp.webp
Azurite Sea,6,113,Markowski,Space Trooper,Common,4,TRUE,Ruby,3,2,2,"['Storyborn', 'Ally']",6-113-en-sp.webp
Azurite Sea,6,114,Abu,Bold Helmsman,Common,5,FALSE,Ruby,4,4,2,"['Storyborn', 'Ally']",6-114-en-sp.webp
Azurite Sea,6,115,Mickey Mouse,Courageous Sailor,Common,3,TRUE,Ruby,2,4,1,"['Dreamborn', 'Hero']",6-115-en-sp.webp
Azurite Sea,6,116,Adorabeezle Winterpop,Ice Rocket Racer,Common,3,TRUE,Ruby,1,5,1,"['Storyborn', 'Hero', 'Racer']",6-116-en-sp.webp
Azurite Sea,6,117,Moana,Self-Taught Sailor,Common,1,TRUE,Ruby,3,2,1,"['Dreamborn', 'Hero', 'Princess', 'Pirate']",6-117-en-sp.webp
Azurite Sea,6,128,Thievery,,Common,1,TRUE,Ruby,,,,[nan],6-128-en-sp.webp
Azurite Sea,6,129,Lead the Way,,Common,2,TRUE,Ruby,,,,[nan],6-129-en-sp.webp
Azurite Sea,6,133,Gold Coin,,Common,1,TRUE,Ruby,,,,[nan],6-133-en-sp.webp
Azurite Sea,6,136,Skull Rock,Isolated Fortress,Common,2,TRUE,Ruby,,6,0,[nan],6-136-en-sp.webp
Azurite Sea,6,137,B.E.N.,Eccentric Robot,Common,4,TRUE,Sapphire,4,3,2,"['Storyborn', 'Ally', 'Robot', 'Pirate']",6-137-en-sp.webp
Azurite Sea,6,138,Aunt Cass,Biggest Fan,Common,2,TRUE,Sapphire,1,3,1,"['Storyborn', 'Mentor']",6-138-en-sp.webp
Azurite Sea,6,139,Gadget Hackwrench,Creative Thinker,Common,3,TRUE,Sapphire,1,4,1,"['Storyborn', 'Ally', 'Inventor']",6-139-en-sp.webp
Azurite Sea,6,147,Sour Bill,Surly Henchman,Common,3,TRUE,Sapphire,2,3,2,"['Storyborn', 'Ally']",6-147-en-sp.webp
Azurite Sea,6,148,Nick Wilde,Soggy Fox,Common,1,TRUE,Sapphire,1,2,1,"['Storyborn', 'Ally']",6-148-en-sp.webp
Azurite Sea,6,151,Gadget Hackwrench,Perceptive Mouse,Common,2,TRUE,Sapphire,2,3,1,"['Storyborn', 'Ally', 'Inventor']",6-151-en-sp.webp
Azurite Sea,6,158,Yokai,Professor Callaghan,Common,1,TRUE,Sapphire,2,2,1,"['Storyborn', 'Villain', 'Inventor']",6-158-en-sp.webp
Azurite Sea,6,163,Sail The Azurite Sea,,Common,2,TRUE,Sapphire,,,,[nan],6-163-en-sp.webp
Azurite Sea,6,164,Helping Hand,,Common,1,FALSE,Sapphire,,,,[nan],6-164-en-sp.webp
Azurite Sea,6,166,Baymax's Healthcare Chip,,Common,2,TRUE,Sapphire,,,,[nan],6-166-en-sp.webp
Azurite Sea,6,168,Jumbo Pop,,Common,3,FALSE,Sapphire,,,,[nan],6-168-en-sp.webp
Azurite Sea,6,170,Institute of Technology,Prestigious University,Common,1,TRUE,Sapphire,0,5,0,[nan],6-170-en-sp.webp
Azurite Sea,6,171,Kakamora,Long-Range Specialist,Common,1,FALSE,Steel,,2,1,"['Storyborn', 'Pirate']",6-171-en-sp.webp
Azurite Sea,6,173,Jim Hawkins,Stubborn Cabin Boy,Common,2,TRUE,Steel,,4,1,"['Storyborn', 'Hero']",6-173-en-sp.webp
Azurite Sea,6,177,Mullins,Seasoned Shipmate,Common,5,TRUE,Steel,6,4,1,"['Storyborn', 'Ally', 'Pirate']",6-177-en-sp.webp
Azurite Sea,6,178,Kohut,Trusted Marine,Common,2,TRUE,Steel,2,3,1,"['Storyborn', 'Ally']",6-178-en-sp.webp
Azurite Sea,6,179,King Hubert,Phillip's Father,Common,3,TRUE,Steel,3,4,1,"['Storyborn', 'Mentor', 'King']",6-179-en-sp.webp
Azurite Sea,6,180,Hercules,Unwavering Demigod,Common,4,TRUE,Steel,2,4,2,"['Dreamborn', 'Hero', 'Prince']",6-180-en-sp.webp
Azurite Sea,6,181,John Silver,Ship's Cook,Common,3,TRUE,Steel,3,3,1,"['Storyborn', 'Villain', 'Alien', 'Pirate', 'Captain']",6-181-en-sp.webp
Azurite Sea,6,182,Mr. Arrow,Legacy's First Mate,Common,2,TRUE,Steel,1,2,2,"['Storyborn', 'Ally', 'Alien']",6-182-en-sp.webp
Azurite Sea,6,196,I'm Still Here,,Common,3,TRUE,Steel,,,,[nan],6-196-en-sp.webp
Azurite Sea,6,197,Twin Fire,,Common,2,FALSE,Steel,,,,[nan],6-197-en-sp.webp
Azurite Sea,6,202,Sunglasses,,Common,4,TRUE,Steel,,,,[nan],6-202-en-sp.webp
Azurite Sea,6,204,Galactic Council Chamber,Courtroom,Common,3,TRUE,Steel,,7,1,[nan],6-204-en-sp.webp
Into the Inklands,3,1,Baloo,von Bruinwald XIII,Rare,3,FALSE,Amber,0,3,1,"['Dreamborn', 'Hero']",3-1-en-sp.webp
Into the Inklands,3,2,Bernard,Brand-New Agent,Rare,4,TRUE,Amber,1,5,2,"['Storyborn', 'Hero']",3-2-en-sp.webp
Into the Inklands,3,3,Chernabog,Evildoer,Super_rare,10,FALSE,Amber,9,9,3,"['Storyborn', 'Villain']",3-3-en-sp.webp
Into the Inklands,3,4a,Dalmatian Puppy,Tail Wagger,Common,2,TRUE,Amber,2,3,1,"['Storyborn', 'Puppy']",3-4a-en-sp.webp
Into the Inklands,3,4b,Dalmatian Puppy,Tail Wagger,Common,2,TRUE,Amber,2,3,1,"['Storyborn', 'Puppy']",3-4b-en-sp.webp
Into the Inklands,3,4c,Dalmatian Puppy,Tail Wagger,Common,2,TRUE,Amber,2,3,1,"['Storyborn', 'Puppy']",3-4c-en-sp.webp
Into the Inklands,3,4d,Dalmatian Puppy,Tail Wagger,Common,2,TRUE,Amber,2,3,1,"['Storyborn', 'Puppy']",3-4d-en-sp.webp
Into the Inklands,3,4e,Dalmatian Puppy,Tail Wagger,Common,2,TRUE,Amber,2,3,1,"['Storyborn', 'Puppy']",3-4e-en-sp.webp
Into the Inklands,3,5,Joshua Sweet,The Doctor,Common,4,TRUE,Amber,1,5,2,"['Storyborn', 'Ally']",3-5-en-sp.webp
Into the Inklands,3,6,Kida,Atlantean,Common,1,TRUE,Amber,2,2,1,"['Storyborn', 'Hero', 'Princess']",3-6-en-sp.webp
Into the Inklands,3,7,Kida,Protector of Atlantis,Legendary,5,TRUE,Amber,3,5,2,"['Floodborn', 'Hero', 'Princess']",3-7-en-sp.webp
Into the Inklands,3,8,Lucky,The 15th Puppy,Rare,4,FALSE,Amber,2,3,1,"['Storyborn', 'Puppy']",3-8-en-sp.webp
Into the Inklands,3,9,Minnie Mouse,Musical Artist,Rare,2,TRUE,Amber,1,3,1,"['Dreamborn', 'Hero']",3-9-en-sp.webp
Into the Inklands,3,10,Miss Bianca,Rescue Aid Society Agent,Common,2,TRUE,Amber,2,2,1,"['Storyborn', 'Hero']",3-10-en-sp.webp
Into the Inklands,3,11,Mr. Snoops,Inept Businessman,Common,6,TRUE,Amber,4,8,2,"['Dreamborn', 'Ally']",3-11-en-sp.webp
Into the Inklands,3,12,Nani,Protective Sister,Uncommon,5,TRUE,Amber,3,6,2,"['Storyborn', 'Hero']",3-12-en-sp.webp
Into the Inklands,3,13,Orville,Ace Pilot,Common,2,TRUE,Amber,1,4,1,"['Storyborn', 'Ally']",3-13-en-sp.webp
Into the Inklands,3,14,Patch,Intimidating Pup,Common,4,TRUE,Amber,3,4,1,"['Storyborn', 'Puppy']",3-14-en-sp.webp
Into the Inklands,3,15,Perdita,Devoted Mother,Legendary,6,FALSE,Amber,1,6,2,"['Storyborn', 'Hero']",3-15-en-sp.webp
Into the Inklands,3,16,Piglet,Pooh Pirate Captain,Super_rare,2,TRUE,Amber,2,2,1,"['Dreamborn', 'Hero', 'Pirate', 'Captain']",3-16-en-sp.webp
Into the Inklands,3,17,Pluto,Determined Defender,Rare,7,TRUE,Amber,3,8,2,"['Floodborn', 'Ally']",3-17-en-sp.webp
Into the Inklands,3,18,Pluto,Friendly Pooch,Uncommon,1,FALSE,Amber,0,2,1,"['Storyborn', 'Ally']",3-18-en-sp.webp
Into the Inklands,3,19,Pongo,Determined Father,Super_rare,3,TRUE,Amber,3,2,1,"['Storyborn', 'Hero']",3-19-en-sp.webp
Into the Inklands,3,20,Queen of Hearts,Wonderland Empress,Uncommon,3,TRUE,Amber,3,3,1,"['Dreamborn', 'Villain', 'Queen']",3-20-en-sp.webp
Into the Inklands,3,21,Rolly,Hungry Pup,Uncommon,3,TRUE,Amber,3,3,1,"['Storyborn', 'Puppy']",3-21-en-sp.webp
Into the Inklands,3,22,Tinker Bell,Generous Fairy,Uncommon,4,FALSE,Amber,1,4,1,"['Storyborn', 'Ally', 'Fairy']",3-22-en-sp.webp
Into the Inklands,3,23,Wendy Darling,Talented Sailor,Uncommon,2,TRUE,Amber,1,3,2,"['Dreamborn', 'Hero']",3-23-en-sp.webp
Into the Inklands,3,24,99 Puppies,,Uncommon,5,FALSE,Amber,,,,[nan],3-24-en-sp.webp
Into the Inklands,3,25,Boss's Orders,,Common,1,TRUE,Amber,,,,[nan],3-25-en-sp.webp
Into the Inklands,3,26,Heal What Has Been Hurt,,Common,3,TRUE,Amber,,,,[nan],3-26-en-sp.webp
Into the Inklands,3,27,Quick Patch,,Common,1,TRUE,Amber,,,,[nan],3-27-en-sp.webp
Into the Inklands,3,28,The Bare Necessities,,Rare,2,TRUE,Amber,,,,[nan],3-28-en-sp.webp
Into the Inklands,3,29,Cleansing Rainwater,,Common,2,TRUE,Amber,,,,[nan],3-29-en-sp.webp
Into the Inklands,3,30,Heart of Atlantis,,Rare,4,FALSE,Amber,,,,[nan],3-30-en-sp.webp
Into the Inklands,3,31,Wildcat's Wrench,,Uncommon,2,TRUE,Amber,,,,[nan],3-31-en-sp.webp
Into the Inklands,3,32,Never Land,Mermaid Lagoon,Common,1,TRUE,Amber,,4,1,[nan],3-32-en-sp.webp
Into the Inklands,3,33,Pride Lands,Pride Rock,Rare,2,FALSE,Amber,,7,1,[nan],3-33-en-sp.webp
Into the Inklands,3,34,Tiana's Palace,Jazz Restaurant,Uncommon,3,FALSE,Amber,,8,1,[nan],3-34-en-sp.webp
Into the Inklands,3,35,Alice,Tea Alchemist,Super_rare,6,TRUE,Amethyst,4,4,2,"['Dreamborn', 'Hero', 'Sorcerer']",3-35-en-sp.webp
Into the Inklands,3,36,Chernabog's Followers,Creatures of Evil,Uncommon,1,TRUE,Amethyst,2,1,1,"['Storyborn', 'Ally']",3-36-en-sp.webp
Into the Inklands,3,37,Diablo,Faithful Pet,Common,1,TRUE,Amethyst,2,1,1,"['Dreamborn', 'Ally']",3-37-en-sp.webp
Into the Inklands,3,38,Genie,Supportive Friend,Super_rare,4,FALSE,Amethyst,3,5,1,"['Storyborn', 'Ally']",3-38-en-sp.webp
Into the Inklands,3,39,Hydros,Ice Titan,Uncommon,3,TRUE,Amethyst,2,2,2,"['Storyborn', 'Titan']",3-39-en-sp.webp
Into the Inklands,3,40,Iago,Pretty Polly,Common,3,TRUE,Amethyst,3,2,1,"['Storyborn', 'Ally']",3-40-en-sp.webp
Into the Inklands,3,41,Jafar,Lamp Thief,Uncommon,3,TRUE,Amethyst,2,2,2,"['Storyborn', 'Villain', 'Sorcerer']",3-41-en-sp.webp
Into the Inklands,3,42,Jafar,Striking Illusionist,Legendary,7,TRUE,Amethyst,4,5,1,"['Floodborn', 'Villain', 'Sorcerer']",3-42-en-sp.webp
Into the Inklands,3,43,Lena Sabrewing,Rebellious Teenager,Common,2,TRUE,Amethyst,1,3,1,"['Storyborn', 'Hero', 'Sorcerer']",3-43-en-sp.webp
Into the Inklands,3,44,Magic Broom,Dancing Duster,Uncommon,6,FALSE,Amethyst,3,3,1,"['Dreamborn', 'Broom']",3-44-en-sp.webp
Into the Inklands,3,45,Magic Broom,Swift Cleaner,Common,5,FALSE,Amethyst,4,4,2,"['Dreamborn', 'Broom']",3-45-en-sp.webp
Into the Inklands,3,46,Magic Broom,The Big Sweeper,Common,3,TRUE,Amethyst,1,5,1,"['Dreamborn', 'Broom']",3-46-en-sp.webp
Into the Inklands,3,47,Magic Carpet,Flying Rug,Common,2,TRUE,Amethyst,2,1,1,"['Storyborn', 'Ally']",3-47-en-sp.webp
Into the Inklands,3,48,Magica De Spell,Ambitious Witch,Common,2,TRUE,Amethyst,2,3,1,"['Storyborn', 'Villain', 'Sorcerer']",3-48-en-sp.webp
Into the Inklands,3,49,Magica De Spell,The Midas Touch,Super_rare,7,FALSE,Amethyst,4,6,0,"['Floodborn', 'Villain', 'Sorcerer']",3-49-en-sp.webp
Into the Inklands,3,50,Magica De Spell,Thieving Sorceress,Uncommon,4,TRUE,Amethyst,3,4,2,"['Storyborn', 'Villain', 'Sorcerer']",3-50-en-sp.webp
Into the Inklands,3,51,Maleficent,Mistress of All Evil,Legendary,5,TRUE,Amethyst,2,3,2,"['Storyborn', 'Villain', 'Sorcerer']",3-51-en-sp.webp
Into the Inklands,3,52,Mama Odie,Voice of Wisdom,Uncommon,6,FALSE,Amethyst,3,6,2,"['Dreamborn', 'Ally', 'Sorcerer']",3-52-en-sp.webp
Into the Inklands,3,53,Pua,Potbellied Buddy,Common,2,TRUE,Amethyst,2,2,2,"['Storyborn', 'Ally']",3-53-en-sp.webp
Into the Inklands,3,54,Rafiki,Mystical Fighter,Rare,1,TRUE,Amethyst,0,2,1,"['Dreamborn', 'Mentor', 'Sorcerer']",3-54-en-sp.webp
Into the Inklands,3,55,Stratos,Tornado Titan,Rare,5,TRUE,Amethyst,4,4,0,"['Storyborn', 'Titan']",3-55-en-sp.webp
Into the Inklands,3,56,The Firebird,Force of Destruction,Common,4,TRUE,Amethyst,6,2,1,"['Dreamborn', 'Villain']",3-56-en-sp.webp
Into the Inklands,3,57,The Queen,Hateful Rival,Common,3,TRUE,Amethyst,4,3,1,"['Dreamborn', 'Villain', 'Queen', 'Sorcerer']",3-57-en-sp.webp
Into the Inklands,3,58,Treasure Guardian,Protector of the Cave,Rare,4,FALSE,Amethyst,6,6,2,['Storyborn'],3-58-en-sp.webp
Into the Inklands,3,59,Ursula,Sea Witch,Rare,3,FALSE,Amethyst,3,3,1,"['Dreamborn', 'Villain', 'Sorcerer']",3-59-en-sp.webp
Into the Inklands,3,60,Bestow a Gift,,Common,1,TRUE,Amethyst,,,,[nan],3-60-en-sp.webp
Into the Inklands,3,61,It Calls Me,,Uncommon,1,TRUE,Amethyst,,,,[nan],3-61-en-sp.webp
Into the Inklands,3,62,Last-Ditch Effort,,Uncommon,3,FALSE,Amethyst,,,,[nan],3-62-en-sp.webp
Into the Inklands,3,63,The Boss is on a Roll,,Rare,3,TRUE,Amethyst,,,,[nan],3-63-en-sp.webp
Into the Inklands,3,64,The Lamp,,Rare,2,FALSE,Amethyst,,,,[nan],3-64-en-sp.webp
Into the Inklands,3,65,The Sorcerer's Hat,,Rare,2,TRUE,Amethyst,,,,[nan],3-65-en-sp.webp
Into the Inklands,3,66,Forbidden Mountain,Maleficent's Castle,Common,2,TRUE,Amethyst,,6,1,[nan],3-66-en-sp.webp
Into the Inklands,3,67,The Queen's Castle,Mirror Chamber,Rare,4,TRUE,Amethyst,,7,2,[nan],3-67-en-sp.webp
Into the Inklands,3,68,The Sorcerer's Tower,Wondrous Workspace,Uncommon,3,TRUE,Amethyst,,7,0,[nan],3-68-en-sp.webp
Into the Inklands,3,69,Cubby,Mighty Lost Boy,Common,4,TRUE,Emerald,3,5,1,"['Storyborn', 'Ally']",3-69-en-sp.webp
Into the Inklands,3,70,Cursed Merfolk,Ursula's Handiwork,Rare,1,FALSE,Emerald,0,1,2,['Storyborn'],3-70-en-sp.webp
Into the Inklands,3,71,Don Karnage,Prince of Pirates,Common,5,TRUE,Emerald,4,4,2,"['Dreamborn', 'Villain', 'Prince', 'Pirate']",3-71-en-sp.webp
Into the Inklands,3,72,Flotsam,Riffraff,Common,3,TRUE,Emerald,5,2,1,"['Dreamborn', 'Ally']",3-72-en-sp.webp
Rise of the Floodborn,2,7,Eudora,Accomplished Seamstress,Common,5,TRUE,Amber,1,9,2,"['Storyborn', 'Ally']",2-7-en-sp.webp
Rise of the Floodborn,2,10,Grumpy,Bad-Tempered,Common,4,TRUE,Amber,3,4,1,"['Storyborn', 'Ally', 'Seven Dwarfs']",2-10-en-sp.webp
Rise of the Floodborn,2,11,Happy,Good-Natured,Common,5,TRUE,Amber,3,5,2,"['Storyborn', 'Ally', 'Seven Dwarfs']",2-11-en-sp.webp
Rise of the Floodborn,2,15,Mulan,Free Spirit,Common,3,TRUE,Amber,2,3,2,"['Dreamborn', 'Hero', 'Princess']",2-15-en-sp.webp
Rise of the Floodborn,2,18,Piglet,Very Small Animal,Common,3,TRUE,Amber,2,4,2,"['Storyborn', 'Ally']",2-18-en-sp.webp
Rise of the Floodborn,2,20,Rapunzel,Sunshine,Common,2,TRUE,Amber,1,4,1,"['Dreamborn', 'Hero', 'Princess']",2-20-en-sp.webp
Rise of the Floodborn,2,21,Sleepy,Nodding Off,Common,2,TRUE,Amber,2,3,2,"['Storyborn', 'Ally', 'Seven Dwarfs']",2-21-en-sp.webp
Rise of the Floodborn,2,22,Sneezy,Very Allergic,Common,2,TRUE,Amber,1,4,1,"['Storyborn', 'Ally', 'Seven Dwarfs']",2-22-en-sp.webp
Rise of the Floodborn,2,23,Snow White,Lost in the Forest,Common,2,TRUE,Amber,2,3,1,"['Storyborn', 'Hero', 'Princess']",2-23-en-sp.webp
Rise of the Floodborn,2,27,The Queen,Regal Monarch,Common,1,TRUE,Amber,2,2,1,"['Storyborn', 'Villain', 'Queen']",2-27-en-sp.webp
Rise of the Floodborn,2,28,Hold Still,,Common,2,TRUE,Amber,,,,[nan],2-28-en-sp.webp
Rise of the Floodborn,2,30,Painting the Roses Red,,Common,2,TRUE,Amber,,,,[nan],2-30-en-sp.webp
Rise of the Floodborn,2,37,Chip the Teacup,Gentle Soul,Common,1,TRUE,Amethyst,2,2,1,"['Storyborn', 'Ally']",2-37-en-sp.webp
Rise of the Floodborn,2,38,Dr. Facilier,Savvy Opportunist,Common,4,TRUE,Amethyst,4,2,1,"['Storyborn', 'Villain', 'Sorcerer']",2-38-en-sp.webp
Rise of the Floodborn,2,39,Elsa,Gloves Off,Common,4,TRUE,Amethyst,3,4,1,"['Storyborn', 'Hero', 'Queen', 'Sorcerer']",2-39-en-sp.webp
Rise of the Floodborn,2,42,Fairy Godmother,Pure Heart,Common,3,TRUE,Amethyst,3,4,1,"['Storyborn', 'Ally', 'Fairy']",2-42-en-sp.webp
Rise of the Floodborn,2,44,Jiminy Cricket,Pinocchio's Conscience,Common,2,TRUE,Amethyst,1,2,1,"['Storyborn', 'Mentor']",2-44-en-sp.webp
Rise of the Floodborn,2,45,Kuzco,Wanted Llama,Common,2,TRUE,Amethyst,1,2,1,"['Storyborn', 'King']",2-45-en-sp.webp
Rise of the Floodborn,2,50,Merlin,Crab,Common,3,TRUE,Amethyst,3,3,1,"['Storyborn', 'Mentor', 'Sorcerer']",2-50-en-sp.webp
Rise of the Floodborn,2,54,Merlin,Squirrel,Common,2,TRUE,Amethyst,2,1,1,"['Storyborn', 'Mentor', 'Sorcerer']",2-54-en-sp.webp
Rise of the Floodborn,2,59,Winnie the Pooh,Hunny Wizard,Common,5,TRUE,Amethyst,5,5,2,"['Dreamborn', 'Hero', 'Sorcerer']",2-59-en-sp.webp
Rise of the Floodborn,2,63,I'm Stuck!,,Common,1,TRUE,Amethyst,,,,[nan],2-63-en-sp.webp
Rise of the Floodborn,2,64,Legend of the Sword in the Stone,,Common,2,TRUE,Amethyst,,,,[nan],2-64-en-sp.webp
Rise of the Floodborn,2,66,Croquet Mallet,,Common,1,FALSE,Amethyst,,,,[nan],2-66-en-sp.webp
Rise of the Floodborn,2,69,Arthur,Trained Swordsman,Common,4,TRUE,Emerald,4,3,2,"['Dreamborn', 'Hero']",2-69-en-sp.webp
Rise of the Floodborn,2,78,Donald Duck,Sleepwalker,Common,3,TRUE,Emerald,0,5,1,['Storyborn'],2-78-en-sp.webp
Rise of the Floodborn,2,80,Enchantress,Unexpected Judge,Common,2,TRUE,Emerald,1,1,2,"['Dreamborn', 'Sorcerer']",2-80-en-sp.webp
Rise of the Floodborn,2,81,Flynn Rider,Confident Vagabond,Common,1,TRUE,Emerald,1,3,1,"['Storyborn', 'Hero', 'Prince']",2-81-en-sp.webp
Rise of the Floodborn,2,83,Gaston,Scheming Suitor,Common,2,TRUE,Emerald,1,3,1,"['Storyborn', 'Villain']",2-83-en-sp.webp
Rise of the Floodborn,2,87,Panic,Underworld Imp,Common,3,FALSE,Emerald,2,3,2,"['Storyborn', 'Ally']",2-87-en-sp.webp
Rise of the Floodborn,2,90,Queen of Hearts,Quick-Tempered,Common,2,FALSE,Emerald,1,2,2,"['Dreamborn', 'Villain', 'Queen']",2-90-en-sp.webp
Rise of the Floodborn,2,91,Ratigan,Criminal Mastermind,Common,4,TRUE,Emerald,4,1,2,"['Dreamborn', 'Villain']",2-91-en-sp.webp
Rise of the Floodborn,2,92,Ray,Easygoing Firefly,Common,5,TRUE,Emerald,3,3,3,"['Storyborn', 'Ally']",2-92-en-sp.webp
Rise of the Floodborn,2,95,Virana,Fang Chief,Common,5,TRUE,Emerald,5,5,2,"['Storyborn', 'Villain', 'Queen']",2-95-en-sp.webp
Rise of the Floodborn,2,98,Hypnotize,,Common,3,TRUE,Emerald,,,,[nan],2-98-en-sp.webp
Rise of the Floodborn,2,99,Improvise,,Common,1,TRUE,Emerald,,,,[nan],2-99-en-sp.webp
Rise of the Floodborn,2,103,Baloo,Fun-Loving Bear,Common,3,TRUE,Ruby,4,3,1,"['Storyborn', 'Ally']",2-103-en-sp.webp
Rise of the Floodborn,2,104,Boun,Precocious Entrepreneur,Common,2,TRUE,Ruby,2,3,1,"['Storyborn', 'Ally']",2-104-en-sp.webp
Rise of the Floodborn,2,107,Felicia,Always Hungry,Common,1,TRUE,Ruby,3,1,0,"['Dreamborn', 'Ally']",2-107-en-sp.webp
